Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
P09_D0,0.0417344394958913,0,0.010284818253765171,0.01676474639723905,0.18407973224634153,0.14852468471938352,0.026319179065822176,0,0,0,0.06456290578343063,0,0.06886516388319822,0.05480165821877725,0,0,0,0.011230984736588701,0.017598088353740972,0,0,0.35523359884582145,0.01,0.39503635200847087,0.946190717881696
P09_D3,0.028103983648109794,0,0,0.06829268143634593,0.10915059248101935,0.16603462320090248,0.010481098473961403,0,0,0,0.0161476875024824,0.00884648139048453,0.1276474395977475,0,0,0,0,0.0051830262511562255,0.01194003404912155,0,0,0.4481723519686689,0,0.7417835996982999,0.6728509426298925
P10_D0,0.015028843918887293,0,0.009717896833946377,0,0.13555116905875714,0.06312113540985594,0.033267773503834946,0,0,0,0.02729951310841617,0,0,0,0,0,0,0.010686703865309642,0.016930744361803352,0,0,0.6883962199391891,0,0.777058311802877,0.6611983647952907
P10_D7,0.03334257697132139,0,0,0.1331724549862162,0.20589026863944915,0.2922568030696283,0,0,0.014268591339589166,0,0.12587171043621495,0.004076772091712877,0.08270672408460551,0,0,0,0,0.0037645216366669738,0,0,0,0.10464957674459541,0.01,0.5365401969052882,0.8446423794504845
P11_D0,0.012471252160394398,0,0,0.051599235521718405,0.1730433582735191,0.19631618937655146,0.036401480428290174,0,0,0,0.03999554202497666,0,0.10306404974512248,0,0,0,0,0.004379159246671415,0.004936735511430137,0,0,0.37779299771132574,0,0.5722140342212914,0.8258028061514899
P11_D1,0.06827829145501624,0,0,0.08627283699510059,0.13294702157785784,0.09891798480729312,0.016165967607802204,0,0,0,0.04549768642168742,0,0.07971370938365231,0.03308725462068038,0,0.008983500366788771,0,0.0007,0,0,0,0.4294647255184018,0.01,0.5509204412327678,0.8489093461259937
P12_D0,0.09444393148678684,0,0.007609944631500723,0.011378252345933886,0.12456558243162107,0.07941437918460256,0.03922995605083747,0,0,0,0.028447132261506105,0,0.028725613181128148,0.0006,0,0,0,0.010346515737250267,0.004371267984498867,0,0,0.5708661958291333,0,0.6994255636837232,0.7294042250735245
P12_D1,0.02801897334832137,0,0,0.04118769679681854,0.10543520020098,0.11512870645466854,0.01645406209381954,0,0,0,0.01912504813075625,0,0.08128849700113534,0,0,0,0,0.004903494438522748,0.008124707276919373,0,0,0.5803336142580583,0,0.759435015488808,0.6630100321751089
P13_D0,0.027013915590392894,0,0.0076897533267865385,0,0.17883305166932803,0.07912154202646912,0.020202895470882904,0,0,0,0.030502461011612976,0,0.09836183647277401,0,0,0,0,0.010458424817553607,0,0,0,0.5478161196142,0,0.7455815712023606,0.6750954069412484
P13_D1,0.031090954899850864,0,0,0.03446645845052965,0.08643784846456429,0.12516972258043435,0.02262376243238192,0,0,0,0.019211131114740484,0,0.13111723199147693,0,0,0,0,0.007029208785009382,0.003406900343906444,0,0,0.5394467809371056,0,0.7674778473609806,0.6480815376215555
P14_D0,0.027036159355565602,0,0.010097868704756706,0,0.14392392457188402,0.12709065535944256,0.019511596584931457,0,0,0,0.049846053164573315,0,0,0,0,0.03317318356405293,0,0.009269005920386163,0.007418387465046167,0,0,0.5726331653093611,0,0.7796885802833543,0.6322531967391205
P14_D3,0.03771476108081018,0,0,0.013081749733812764,0.18769011109750608,0.12599484679028441,0.023946960183546608,0,0.009860041263790188,0,0.036022226242524644,0,0.05310873897921092,0,0,0,0,0.00840437811835573,0,0,0,0.5041761865101585,0,0.7388688836640736,0.6772897562028384
P15_D0,0.07297312972648554,0,0.007654207164119404,0,0.17337400225773442,0.09436238780062749,0.027457927046177538,0,0,0,0.035391011907957085,0,0.04991606656787532,0,0,0,0,0.01048296501234118,0.015400752863968414,0,0,0.5129875496527136,0,0.6734116835068522,0.7477339287273058
P15_D1,0.020428632882202508,0,0.006492832860014719,0,0.17426916720879715,0.1593935569033615,0.029542125115759266,0,0,0,0.05923422274566792,0,0.07209937181204944,0,0,0,0,0.00905211876494872,0,0,0,0.4694879717071988,0,0.6642535985555087,0.7528786846626253
P16_D0,0.009768912829047204,0,0.008222348208778627,0,0.14299655594716626,0.09528869063004741,0.02393953846042106,0,0,0,0.014258936649317912,0,0,0,0,0,0,0.007806958219559361,0.028370958418833973,0,0,0.6693471006368282,0.01,0.5434544237810539,0.9297718744120588
P16_D7,0.008184548417240145,0,0,0.07241852774590948,0.15467434263555088,0.2062413241057087,0.0008,0,0.016550697322498392,0,0.07826581318743217,0,0.11778592306514625,0,0,0,0,0.0032016015163987112,0.0045081851560912125,0,0,0.3373272148142321,0,0.6845486882418717,0.7307255162744763
P17_D0,0.06089499768630808,0,0.010612315890716314,0,0.18477114306806722,0.07850175249150512,0.022303162159459725,0,0,0.006669568919936588,0.038299248086216806,0,0.041497618851992275,0.010831787957543634,0,0,0,0.014793580765844003,0.014934843865232795,0,0,0.5158899802571775,0,0.7434705400423756,0.6722149079609168
P17_D7,0.017323950803975505,0.0018830341959603627,0,0.02852736716852823,0.11801904547060055,0.2322325043171625,0,0,0.02711512711301478,0,0.051650772576502024,0.007874523042079909,0.24660551255041147,0,0,0,0,0,0.02407301328968563,0,0,0.24469514947207902,0,0.6818673653704765,0.7367807781996917
P19_D0,0.05699086874087643,0,0.0018921200633233994,0,0.12106991150708513,0.21770518699284477,0.022516836488656784,0,0.007674466603440374,0,0.06261166466637333,0,0.15361176905627016,0.026798067698608888,0,0,0,0.006436783797739202,0.017933001565169596,0,0,0.3047593228196119,0.01,0.2940830597895405,1.002237848964314
