"ensembl","hgnc","P14_D0","P14_D3","P17_D0","P17_D7","P21_D0","P21_D3","P23_D0","P23_D7","P26_D0","P26_D3","P30_D0","P30_D1","P32_D0","P32_D7","P33_D0","P33_D1","P35_D0","P35_D3","X1059050","X1157168","X2059051","X2059060","X2059114","X3058035","X3058044","X3059052","X3059106","X4058036","ES1177591","ES1177516","ES1177509","ES1177463","ES1177458","ES1177510","ES1177482","ES1177547","ES1177556","ES1177508","ES1177454","ES1177522","ES1177565"
"ENSG00000000003","TSPAN6",133,171,160,188,90,184,141,181,81,131,129,122,111,227,140,239,93,135,208,187,322,122,112,171,95,91,158,66,0,373,276,172,80,371,84,334,159,338,0,264,254
"ENSG00000000419","DPM1",4189,4378,3906,10921,781,4114,3430,5434,2470,1695,4389,1604,4888,8764,2843,4524,1493,5673,9836,1806,10767,4494,5894,1776,1125,2358,4804,1854,2839,6524,5161,6095,5291,6328,4216,4721,0,6803,5205,3044,5172
"ENSG00000000457","SCYL3",2934,3569,2892,6119,2220,3741,2938,4333,2517,3370,2916,2618,3289,6870,2704,3491,2150,3359,3114,2559,5831,5964,2891,2851,2529,3121,3137,2572,1986,4193,3583,2768,2970,3144,3390,4878,2684,4625,3755,3155,5229
"ENSG00000000460","C1orf112",371,448,423,1015,379,490,389,508,407,535,377,394,417,944,464,449,374,642,387,480,607,562,970,421,294,542,508,299,446,619,420,481,674,500,486,510,233,669,440,583,722
"ENSG00000000938","FGR",32176,42439,25509,144838,28698,34064,73914,68972,12323,15957,25946,35740,68788,185418,67047,61122,16679,9439,65249,33154,30016,22741,47267,34829,28918,66948,9492,185953,86589,53138,44902,60347,37887,0,66634,106004,95885,18066,66570,87328,99854
"ENSG00000001036","FUCA2",1431,2061,1349,8301,1020,2785,1184,2820,1039,1871,997,1556,1431,6506,1081,1794,973,3109,4994,1659,1694,827,1065,459,3778,3237,1797,3034,1996,3123,2664,2880,1596,3157,1985,3833,2908,3055,2675,0,2039
"ENSG00000001084","GCLC",1417,954,2735,822,5199,1157,1852,493,28703,4481,2247,2644,1579,866,4993,2397,4284,1168,4034,2386,9983,6493,1607,1492,98,6111,1936,731,4460,4024,5663,5640,7055,6747,3981,0,7321,1228,2664,0,4608
"ENSG00000001167","NFYA",8500,14706,10778,15301,2179,12967,7826,25012,4778,5946,8375,5837,8997,27901,5216,13700,1689,3390,7822,10404,19630,15049,7322,10067,609,13185,7419,8311,9968,10654,11451,13746,12743,12915,10669,12032,0,14759,11672,10547,12657
"ENSG00000001460","STPG1",258,326,179,862,138,299,293,414,198,320,225,242,261,706,304,314,114,147,79,106,697,434,50,391,715,197,694,208,501,732,432,0,677,519,268,376,628,336,541,300,0
"ENSG00000001461","NIPAL3",1937,3379,2130,12096,1373,3102,2199,4311,1766,4082,2029,1891,2512,15092,3785,3691,2147,5177,2153,1686,8444,9450,1619,4552,1908,3459,5301,1358,5351,5869,4297,1832,5076,6265,4879,5111,5066,4127,5098,4218,0
